Title;Original_language;Release_date
Ariel;fi;1988-10-21
Shadows in Paradise;fi;1986-10-16
Four Rooms;en;1995-12-25
Judgment Night;en;1993-10-15
Life in Loops (A Megacities RMX);en;2006-01-01
Sunday in August;de;2004-09-02
Star Wars;en;1977-03-20
Finding Nemo;en;2003-05-30
Forrest Gump;en;1994-07-06
American Beauty;en;1999-09-15
Citizen Kane;en;1941-04-30
Dancer in the Dark;en;2000-05-17
The Dark;en;2006-01-26
The Fifth Element;en;1997-05-07
Metropolis;de;1927-01-10
My Life Without Me;en;2003-03-07
